AQI.Value,AQI.Category,CO.AQI.Value,CO.AQI.Category,Ozone.AQI.Value,Ozone.AQI.Category,NO2.AQI.Value,NO2.AQI.Category,PM2.5.AQI.Value,PM2.5.AQI.Category
64,2,1,1,32,1,6,1,64,2
20,1,1,1,20,1,1,1,10,1
38,1,1,1,30,1,3,1,38,1
59,2,1,1,27,1,3,1,59,2
67,2,1,1,30,1,5,1,67,2
75,2,2,1,13,1,16,1,75,2
60,2,2,1,18,1,21,1,60,2
22,1,1,1,13,1,0,1,22,1
36,1,1,1,36,1,0,1,25,1
41,1,1,1,30,1,8,1,41,1
44,1,1,1,28,1,2,1,44,1
29,1,1,1,26,1,1,1,29,1
168,4,3,1,168,4,5,1,99,2
25,1,1,1,25,1,3,1,23,1
41,1,1,1,26,1,4,1,41,1
36,1,0,1,33,1,1,1,36,1
59,2,2,1,12,1,0,1,59,2
98,2,0,1,17,1,0,1,98,2
35,1,0,1,33,1,2,1,35,1
29,1,0,1,29,1,0,1,13,1
51,2,1,1,29,1,3,1,51,2
103,3,4,1,9,1,6,1,103,3
35,1,1,1,35,1,0,1,17,1
35,1,1,1,30,1,4,1,35,1
27,1,0,1,27,1,2,1,21,1
48,1,1,1,39,1,1,1,48,1
307,6,1,1,45,1,0,1,307,6
54,2,1,1,25,1,0,1,54,2
61,2,2,1,26,1,16,1,61,2
36,1,1,1,36,1,1,1,30,1
42,1,1,1,42,1,2,1,37,1
42,1,0,1,32,1,1,1,42,1
151,4,4,1,45,1,4,1,151,4
102,3,1,1,23,1,0,1,102,3
115,3,3,1,24,1,2,1,115,3
64,2,1,1,53,2,1,1,64,2
40,1,1,1,30,1,2,1,40,1
45,1,1,1,45,1,0,1,38,1
65,2,1,1,34,1,0,1,65,2
17,1,1,1,13,1,0,1,17,1
52,2,1,1,39,1,1,1,52,2
69,2,1,1,69,2,1,1,60,2
44,1,1,1,33,1,1,1,44,1
50,1,1,1,41,1,1,1,50,1
72,2,1,1,42,1,1,1,72,2
49,1,1,1,49,1,1,1,32,1
127,3,2,1,65,2,1,1,127,3
125,3,2,1,125,3,1,1,82,2
41,1,1,1,25,1,1,1,41,1
52,2,1,1,34,1,3,1,52,2
47,1,1,1,47,1,1,1,44,1
36,1,1,1,36,1,3,1,34,1
155,4,1,1,39,1,0,1,155,4
37,1,1,1,19,1,0,1,37,1
46,1,1,1,27,1,1,1,46,1
69,2,1,1,42,1,0,1,69,2
64,2,1,1,18,1,12,1,64,2
92,2,2,1,52,2,8,1,92,2
58,2,1,1,43,1,3,1,58,2
41,1,1,1,41,1,0,1,38,1
35,1,1,1,20,1,0,1,35,1
88,2,2,1,53,2,1,1,88,2
45,1,0,1,45,1,0,1,43,1
102,3,1,1,38,1,0,1,102,3
58,2,1,1,24,1,7,1,58,2
143,3,2,1,35,1,5,1,143,3
187,4,2,1,36,1,8,1,187,4
35,1,1,1,35,1,0,1,17,1
48,1,1,1,35,1,1,1,48,1
58,2,1,1,29,1,6,1,58,2
65,2,1,1,27,1,8,1,65,2
73,2,2,1,66,2,0,1,73,2
160,4,4,1,36,1,13,1,160,4
98,2,3,1,33,1,9,1,98,2
156,4,4,1,45,1,10,1,156,4
75,2,2,1,9,1,6,1,75,2
163,4,4,1,8,1,18,1,163,4
35,1,1,1,35,1,0,1,21,1
30,1,0,1,30,1,2,1,29,1
47,1,1,1,21,1,2,1,47,1
69,2,1,1,37,1,4,1,69,2
105,3,4,1,15,1,4,1,105,3
189,4,2,1,9,1,15,1,189,4
64,2,2,1,37,1,8,1,64,2
54,2,1,1,32,1,5,1,54,2
198,4,4,1,198,4,3,1,188,4
139,3,7,1,13,1,5,1,139,3
55,2,1,1,26,1,3,1,55,2
145,3,1,1,46,1,0,1,145,3
80,2,1,1,18,1,10,1,80,2
50,1,1,1,36,1,1,1,50,1
35,1,1,1,25,1,3,1,35,1
55,2,1,1,27,1,0,1,55,2
13,1,1,1,12,1,1,1,13,1
48,1,1,1,23,1,3,1,48,1
28,1,0,1,28,1,0,1,13,1
50,1,1,1,29,1,3,1,50,1
26,1,0,1,26,1,0,1,20,1
107,3,2,1,107,3,5,1,86,2
22,1,0,1,22,1,0,1,20,1
76,2,3,1,7,1,25,1,76,2
47,1,1,1,32,1,0,1,47,1
104,3,2,1,14,1,1,1,104,3
60,2,1,1,16,1,5,1,60,2
32,1,1,1,3,1,2,1,32,1
28,1,1,1,28,1,1,1,15,1
34,1,0,1,28,1,2,1,34,1
28,1,1,1,28,1,1,1,19,1
48,1,1,1,35,1,0,1,48,1
39,1,1,1,29,1,1,1,39,1
97,2,1,1,14,1,0,1,97,2
75,2,1,1,37,1,0,1,75,2
194,4,1,1,44,1,0,1,194,4
104,3,3,1,5,1,10,1,104,3
57,2,1,1,40,1,3,1,57,2
41,1,1,1,41,1,3,1,27,1
37,1,1,1,16,1,7,1,37,1
59,2,1,1,34,1,0,1,59,2
29,1,1,1,29,1,2,1,20,1
34,1,0,1,34,1,1,1,26,1
70,2,1,1,41,1,0,1,70,2
32,1,0,1,30,1,1,1,32,1
500,6,1,1,38,1,1,1,466,6
380,6,31,1,1,1,26,1,380,6
222,5,12,1,5,1,14,1,222,5
52,2,0,1,28,1,0,1,52,2
76,2,1,1,39,1,0,1,76,2
27,1,0,1,23,1,0,1,27,1
59,2,1,1,26,1,2,1,59,2
38,1,0,1,28,1,2,1,38,1
56,2,1,1,23,1,6,1,56,2
127,3,1,1,18,1,0,1,127,3
117,3,1,1,117,3,1,1,78,2
92,2,2,1,57,2,1,1,92,2
182,4,5,1,170,4,5,1,182,4
124,3,2,1,32,1,7,1,124,3
68,2,2,1,68,2,6,1,57,2
68,2,1,1,26,1,0,1,68,2
39,1,1,1,4,1,2,1,39,1
50,1,1,1,33,1,0,1,50,1
103,3,1,1,33,1,6,1,103,3
38,1,1,1,36,1,5,1,38,1
61,2,1,1,38,1,1,1,61,2
17,1,0,1,17,1,1,1,17,1
21,1,0,1,4,1,0,1,21,1
32,1,1,1,32,1,1,1,20,1
151,4,3,1,119,3,1,1,151,4
57,2,1,1,32,1,0,1,57,2
38,1,1,1,38,1,0,1,35,1
49,1,1,1,40,1,0,1,49,1
171,4,1,1,42,1,0,1,171,4
91,2,1,1,28,1,1,1,91,2
72,2,2,1,4,1,5,1,72,2
153,4,2,1,22,1,6,1,153,4
59,2,1,1,25,1,2,1,59,2
